strain	YPD	YPD_BPS	YPD_Rapa	YPE	YPMalt
seg_01B	12.6039864561002	10.4607946782238	2.5003107762263	5.26569777005981	6.72044718438651
seg_01C	10.7911441018593	11.6320185145874	NA	5.36525874769601	7.42927339334808
seg_01D	12.8172683669369	10.4232874888518	3.142154149137	5.57793212352287	6.9055891619923
seg_02B	10.2992102470067	9.10361064453388	4.31438808822404	3.25784333444488	4.92432415390247
seg_02C	11.1327780411762	9.26309969300878	3.5485434435475	3.8156892726668	4.41340197652954
seg_02D	13.9108357111362	11.750177903134	NA	5.67289042426364	7.92619992278573
seg_03A	11.1869454707966	11.0284595501343	3.46604194550015	5.26007183390528	8.8856336540514
seg_03C	12.3095804292301	9.78893087010459	NA	4.72454541429486	5.59724259334084
seg_03D	11.4629959394823	10.5625565458585	4.83036495846517	3.57898991337832	5.00331585276023
seg_04B	11.3154453225279	10.7166111771195	3.02848017266398	3.97112130257956	7.78561708395285
seg_04C	11.5609892472707	9.06402226586564	3.65847938144767	4.80085541840027	5.3889109666282
seg_04D	12.2443834931702	9.85491507150544	5.11328392108765	4.25317618758959	9.49555057193037
seg_05B	11.1363145896472	10.8068742405314	3.67272256254551	2.12735042015238	8.44580374312835
seg_05C	12.0931539956998	9.97684851723421	4.96602900108277	5.72609450752404	5.76363547148806
seg_05D	7.9678464747199	9.44830920318788	4.15593935022701	3.49426800204598	4.35057592373123
seg_06A	11.1840890008339	8.65143910784653	4.44140362944764	4.02620190065965	6.82403128862516
seg_06C	11.5195593882619	9.89395722392466	4.16565517329563	3.61841536508686	5.70444681472644
seg_06D	9.03611649091505	8.77752009933227	6.42393921742031	4.47885506730357	4.64410704998735
seg_07A	11.825307411774	11.0038241646774	4.3602792342845	4.48454786603279	5.80521026852394
seg_07C	11.1440146294108	10.2484671262607	4.14124694329699	4.00221891818092	6.67576186541389
seg_07D	10.7831562952288	7.80615655393914	4.13742253987711	4.07178897799302	6.6912940715203
seg_08B	12.2105030186095	9.40816143994693	2.67923328814232	4.90630093383571	7.47905859727081
seg_08C	11.6009223876167	10.5895816012155	3.26877144839119	3.818798830815	5.15593125890672
seg_08D	12.4741550765908	9.87116192585567	3.3431025163793	5.42094730778845	9.01777650302734
seg_09A	12.0669644058024	10.736707547106	3.81181707824353	3.92834640771525	5.35706717665973
seg_09C	12.3780089902357	10.0030751459926	1.57259647574722	5.0191172465045	6.39810651137726
seg_09D	12.8778328568706	9.74888496908559	5.60565085779887	3.57707710111563	7.22735994653389
seg_10A	10.1494926854178	8.21923123964011	4.05009868247569	3.72255919885908	5.31941579210711
seg_10B	12.9281540429993	10.2901165125724	5.68376517756701	3.79218184907459	6.68347683029323
seg_10D	12.752933473627	11.6427363133178	9.03464251207449	5.47224782231892	9.49161393737433
seg_11A	12.4723053614226	11.1234378481837	3.60452884032749	5.05772359829853	5.83868302160149
seg_11C	13.1853242583521	NA	5.24035007902829	4.72614880923225	8.11097235517827
seg_11D	10.5793522376894	10.0590152427244	NA	5.74412317357046	NA
seg_12A	11.5926472608561	9.82986195073424	1.99600714562019	3.65601508712361	7.43849089764889
