id	chrom	start	end
mrk_1	chr01	1512	2366
mrk_14	chr01	29161	29333
mrk_27	chr01	38275	38317
mrk_40	chr01	47695	47695
mrk_54	chr01	56059	56059
mrk_67	chr01	61507	61645
mrk_80	chr01	68448	68448
mrk_94	chr01	71737	71746
mrk_107	chr01	80562	80562
mrk_120	chr01	86129	86236
mrk_134	chr01	104485	104660
mrk_147	chr01	111944	112996
mrk_160	chr01	117313	117313
mrk_174	chr01	160401	160656
mrk_187	chr01	178464	188945
mrk_200	chr01	197584	197933
mrk_214	chr02	10779	10779
mrk_227	chr02	21921	21921
mrk_240	chr02	36520	36520
mrk_254	chr02	44220	44271
mrk_267	chr02	59338	59365
mrk_280	chr02	67191	67549
mrk_294	chr02	72226	72355
mrk_307	chr02	83666	83936
mrk_320	chr02	90507	90582
mrk_334	chr02	104871	104871
mrk_347	chr02	123246	123341
mrk_360	chr02	128496	128496
mrk_374	chr02	138800	139106
mrk_387	chr02	146584	146971
mrk_400	chr02	158988	159084
mrk_414	chr02	169774	170111
mrk_427	chr02	180383	180920
mrk_440	chr02	191196	192604
mrk_454	chr02	202617	202617
mrk_467	chr02	217284	217284
mrk_480	chr02	234928	235180
mrk_494	chr02	245106	245436
mrk_507	chr02	252120	252120
mrk_520	chr02	257256	257761
mrk_534	chr02	267929	267929
mrk_547	chr02	289006	289053
mrk_560	chr02	299860	300151
mrk_574	chr02	317875	317875
mrk_587	chr02	328328	330010
mrk_600	chr02	339019	339027
mrk_614	chr02	351699	351699
mrk_627	chr02	365511	365717
mrk_640	chr02	375900	375900
mrk_653	chr02	389863	389899
mrk_667	chr02	415196	415730
mrk_680	chr02	459275	460105
mrk_693	chr02	472778	473445
mrk_707	chr02	483381	483831
mrk_720	chr02	494158	494158
mrk_733	chr02	501538	501538
mrk_747	chr02	507846	508786
mrk_760	chr02	519446	521724
mrk_773	chr02	533161	533618
mrk_787	chr02	542344	542344
mrk_800	chr02	549019	549962
mrk_813	chr02	554344	555891
mrk_827	chr02	563551	563551
mrk_840	chr02	569989	569989
mrk_853	chr02	575736	575736
mrk_867	chr02	585804	586174
mrk_880	chr02	593086	593527
mrk_893	chr02	602186	602197
mrk_907	chr02	609230	609379
mrk_920	chr02	615689	616481
mrk_933	chr02	625764	625764
mrk_947	chr02	632192	632192
mrk_960	chr02	637940	638051
mrk_973	chr02	649194	649876
mrk_987	chr02	659382	659382
mrk_1000	chr02	669646	669646
mrk_1013	chr02	678296	678713
mrk_1027	chr02	691673	691673
mrk_1040	chr02	706932	707024
