chrom	start	end	strand	name	commonName	type	source	novel
chr01	6601	9080	+	SY_A0001W	SY_A0001W	SUT	genenv	TRUE
chr01	9392	9954	+	SUT001	SUT001	SUT	XU09	FALSE
chr01	11378	11715	+	SY_A0003W	SY_A0003W	SUT	genenv	TRUE
chr01	28205	28501	+	SY_A0004W	SY_A0004W	SUT	genenv	TRUE
chr01	29136	29934	+	SY_A0005W	SY_A0005W	SUT	genenv	TRUE
chr01	31860	32320	+	YAL062W	GDH3	ORF-T	XU09	FALSE
chr01	32340	33710	+	YAL062W	GDH3	ORF-T	SGD	FALSE
chr01	33720	34053	+	SY_A0008W	SY_A0008W	SUT	genenv	TRUE
chr01	34120	35616	+	YAL061W	BDH2	ORF-T	SGD	FALSE
chr01	35638	35786	+	SY_A0010W	SY_A0010W	SUT	genenv	TRUE
chr01	35809	37121	+	YAL060W	BDH1	ORF-T	SGD	FALSE
chr01	37265	38001	+	YAL059W	ECM1	ORF-T	SGD	FALSE
chr01	38086	39840	+	YAL058W	CNE1	ORF-T	SGD	FALSE
chr01	39930	42690	+	YAL056W	GPB2	ORF-T	SGD	FALSE
chr01	42880	43560	+	YAL055W	PEX22	ORF-T	SGD	FALSE
chr01	44161	46065	+	SUT002	SUT002	SUT	XU09	FALSE
chr01	46481	49017	+	YAL053W	FLC2	ORF-T	SGD	FALSE
chr01	49233	52536	+	YAL051W	OAF1	ORF-T	SGD	FALSE
chr01	53606	53990	+	SY_A0019W	SY_A0019W	SUT	genenv	TRUE
chr01	58227	58699	+	YAL044W-A	YAL044W-A	ORF-T	SGD	FALSE
chr01	62003	63371	+	YAL042W	ERV46	ORF-T	SGD	FALSE
chr01	63515	66339	+	YAL041W	CDC24	ORF-T	SGD	FALSE
chr01	70760	71639	+	SY_A0023W	SY_A0023W	SUT	genenv	TRUE
chr01	71143	72385	+	SY_A0024W	SY_A0024W	SUT	genenv	TRUE
chr01	72408	74192	+	YAL038W	CDC19	ORF-T	SGD	FALSE
chr01	74664	75705	+	YAL037W	YAL037W	ORF-T	SGD	FALSE
chr01	77114	80295	+	YAL035W	FUN12	ORF-T	SGD	FALSE
chr01	80449	81409	+	YAL034W-A	MTW1	ORF-T	SGD	FALSE
chr01	83441	84049	+	YAL033W	POP5	ORF-T	SGD	FALSE
chr01	87471	87978	+	SY_A0030W	SY_A0030W	SUT	genenv	TRUE
chr01	87995	88660	+	YAL030W	SNC1	ORF-T	SGD	FALSE
chr01	93602	95242	+	YAL028W	FRT2	ORF-T	SGD	FALSE
chr01	95354	96290	+	YAL027W	SAW1	ORF-T	SGD	FALSE
chr01	106521	107032	+	SY_A0034W	SY_A0034W	SUT	genenv	TRUE
chr01	115571	119163	+	YAL019W	FUN30	ORF-T	SGD	FALSE
chr01	120619	125203	+	YAL017W	PSK1	ORF-T	SGD	FALSE
chr01	125555	127627	+	YAL016W	TPD3	ORF-T	SGD	FALSE
chr01	129995	131339	+	YAL013W	DEP1	ORF-T	SGD	FALSE
chr01	131459	132859	+	YAL012W	CYS3	ORF-T	SGD	FALSE
chr01	132955	134875	+	YAL011W	SWC3	ORF-T	SGD	FALSE
chr01	136581	137477	+	YAL009W	SPO7	ORF-T	SGD	FALSE
chr01	137621	138413	+	YAL008W	FUN14	ORF-T	SGD	FALSE
chr01	142887	144218	+	YAL003W	EFB1	ORF-T	SGD	FALSE
chr01	144370	148354	+	YAL002W	VPS8	ORF-T	SGD	FALSE
